File Name,Peak [CNN],Prediction Value,Peak [Worker],Matching
small ng samp 9_(14.4737_25.0).csv,0,0.0115060713142156,0,o
small ng samp 9_(14.4737_3.94737).csv,1,0.5657193660736084,0,x
small ng samp 9_(14.4737_6.57895).csv,0,0.0152472257614135,0,o
small ng samp 9_(14.4737_9.21053).csv,0,0.0054593491367995,0,o
small ng samp 9_(17.1053_-1.31579).csv,0,0.2673416137695312,1,x
small ng samp 9_(17.1053_-11.8421).csv,1,0.8856077194213867,1,o
small ng samp 9_(17.1053_-14.4737).csv,1,0.9483155608177184,1,o
small ng samp 9_(17.1053_-17.1053).csv,1,0.9595623016357422,1,o
small ng samp 9_(17.1053_-19.7368).csv,1,0.9774993062019348,1,o
small ng samp 9_(17.1053_-22.3684).csv,1,0.9525349736213684,1,o
small ng samp 9_(17.1053_-25.0).csv,1,0.9915063977241516,1,o
small ng samp 9_(17.1053_-3.94737).csv,0,0.083840399980545,1,x
small ng samp 9_(17.1053_-6.57895).csv,0,0.4933442175388336,1,x
small ng samp 9_(17.1053_-9.21053).csv,1,0.6511996984481812,0,x
small ng samp 9_(17.1053_1.31579).csv,1,0.9066868424415588,1,o
small ng samp 9_(17.1053_11.8421).csv,1,0.9745862483978271,1,o
small ng samp 9_(17.1053_14.4737).csv,0,0.0405121520161628,0,o
small ng samp 9_(17.1053_17.1053).csv,1,0.987934947013855,1,o
small ng samp 9_(17.1053_19.7368).csv,0,0.0943719744682312,0,o
small ng samp 9_(17.1053_22.3684).csv,1,0.5013362765312195,0,x
small ng samp 9_(17.1053_25.0).csv,0,0.0015444727614521,0,o
small ng samp 9_(17.1053_3.94737).csv,0,0.1341426223516464,1,x
small ng samp 9_(17.1053_6.57895).csv,1,0.8832277059555054,1,o
small ng samp 9_(17.1053_9.21053).csv,0,0.0245169810950756,0,o
small ng samp 9_(19.7368_-1.31579).csv,1,0.987613320350647,1,o
small ng samp 9_(19.7368_-11.8421).csv,0,0.0026137747336179,0,o
small ng samp 9_(19.7368_-14.4737).csv,0,0.010994391515851,0,o
small ng samp 9_(19.7368_-17.1053).csv,0,0.1835562884807586,0,o
small ng samp 9_(19.7368_-19.7368).csv,1,0.7703662514686584,0,x
